"speed","rr","lin","distance","timeper","cat","grpsize","calf","behav","count","id","timeofday","behav2","vessels"
3.790870237,8.500885988,0.985503494,208.6171418,0.3,"TT",4,0,"FSB",4,414455,"morning","Foraging","Present"
3.892197206,7.45848222,0.984372799,98.47081305,0.2,"Trawler",3,0,"FSB",1,414455,"morning","Foraging","Present"
3.571308287,2.595806587,0.992155658,136.5548644,0.3,"TT",3,1,"FSB",1,414456,"morning","Foraging","Present"
2.031592457,20.96845878,0.190322422,168.8499893,0.4,"Trawler",3,0,"FSB",1,414457,"mid-day","Foraging","Present"
2.142755457,18.99399161,0.903662052,155.6180326,0.4,"Trawler",6,0,"FSB",2,414457,"mid-day","Foraging","Present"
3.843540508,7.424746389,0.944086363,189.7434931,0.5,"Trawler",5,1,"FSB",1,414459,"mid-day","Foraging","Present"
2.291889199,30.96974784,0.874685879,248.4620031,0.4,"Small",3,0,"Rest",1,414493,"mid-day","RST","Present"
1.77566932,54.61755846,0.260267547,89.13974294,0.2,"None",4,0,"Social",2,414504,"morning","RST","Absent"
2.005297458,23.18105372,0.700243748,88.3398632,0.1,"None",5,0,"Social",1,414504,"morning","RST","Absent"
1.936940274,53.93462376,0.758461679,192.7457204,0.1,"None",3,0,"Social",1,414511,"morning","RST","Absent"
1.799198284,18.87974819,0.489983236,192.2123211,0.2,"Small",2,0,"Social",1,414514,"morning","RST","Present"
2.462357224,2.177163206,0.992585222,167.3137905,0.4,"Small",5,0,"Rest",1,414731,"mid-day","RST","Present"
4.217623154,39.83928591,0.173660681,209.4302716,0.5,"Small",6,0,"Social",1,414733,"mid-day","RST","Present"
8.50193233,3.519924522,0.995113294,128.3605979,0.5,"TT",3,0,"FSB",1,414735,"mid-day","Foraging","Present"
2.219804,35.31849095,0.114551941,131.1611641,0.2,"Trawler",3,0,"FSB",1,414741,"morning","Foraging","Present"
